Original: cols , predicted 1st: add
Original: setup , predicted 1st: start
Original: get|token , predicted 1st: get|token
Original: test|simple|placement|policy|from|conf , predicted 1st: test
Original: get|cpu|required , predicted 1st: get|task|type
Original: path|to|object|location , predicted 1st: get|uri|uri|path
Original: get|task|attempt|i|ds|pattern|wo|prefix , predicted 1st: get
Original: assert|file|has|length , predicted 1st: assert|status
Original: test|rm|app|submit|max|app|attempts , predicted 1st: test|get|app
Original: get|task|type , predicted 1st: get|task|type|format
Original: create|swift|fs , predicted 1st: get|file
Original: test|available|space|changes , predicted 1st: test
Original: test|renew|delegation|token|on|ha , predicted 1st: test|open|time
Original: get|reporter , predicted 1st: get
Original: write , predicted 1st: write|to
Original: force|mkdir , predicted 1st: create|directory
Original: get|finish|time , predicted 1st: get|time
Original: list|directory , predicted 1st: get|files
Original: create|mocked|container , predicted 1st: get|container
Original: get|sort|finish|time , predicted 1st: get|time
Original: is|ip , predicted 1st: is|pattern
Original: test|filter|default|acl|entries|unchanged , predicted 1st: test|get|entries|with|all|all
Original: get|storages , predicted 1st: get
Original: write|src|file , predicted 1st: write
Original: get|task|attempt|i|ds|pattern , predicted 1st: get|task|name
Original: stop , predicted 1st: shutdown
Original: test|balancer|with|include|list|with|ports , predicted 1st: test
Original: test|handle|session|expiration , predicted 1st: test
Original: get|diagnostics , predicted 1st: get
Original: get|task|log|file , predicted 1st: get|file
Original: get|assigned|container|id , predicted 1st: get|id|id
Original: get|target|ugi , predicted 1st: get
Original: progress , predicted 1st: run
Original: get|progress , predicted 1st: get|progress
Original: get|expected|type , predicted 1st: get|type|type
Original: get|swift|native|output|stream , predicted 1st: get|stream|stream|stream
Original: test|jobs|slash , predicted 1st: test|get|json|type
Original: update|resource|counters , predicted 1st: test
Original: authenticate , predicted 1st: get|authentication
Original: test|mr|web|app|redirection , predicted 1st: test|get|host
Original: create|client|service , predicted 1st: create|service
Original: test|block|reader|simple|reads|short|readahead , predicted 1st: test|read|reader
Original: set|app|event|type , predicted 1st: set|type|type
Original: test|am|default , predicted 1st: test|get|value
Original: mkdir , predicted 1st: should|create
Original: add|parameter , predicted 1st: put
Original: allocate , predicted 1st: get|response
Original: run , predicted 1st: call
Original: set|state|string , predicted 1st: set|string|string
Original: write|log , predicted 1st: do|process
Original: test|job|counters|default , predicted 1st: test|get|job
Original: test|throw|undefined|value|exception , predicted 1st: test|read|read
Original: test|fail|to|become|active|after|zk|disconnect , predicted 1st: test|update
Original: test|single|counter|view , predicted 1st: run
Original: get|block|size , predicted 1st: get|weight
Original: get|checkpoint|id , predicted 1st: get|task|id|id
Original: make|block|pool|storage , predicted 1st: random|random|block
Original: set|task|id , predicted 1st: set|task|id
Original: get|attempt , predicted 1st: get
Original: test|mod , predicted 1st: test
Original: get|instrumentation , predicted 1st: get|system|system|file
Original: test|filter|acl|entries|by|acl|spec|remove|default|mask|required , predicted 1st: test|entries|with|null|with
Original: value|of , predicted 1st: get
Original: get|bandwidth|gauge|updater , predicted 1st: get
Original: expand|command , predicted 1st: get|text
Original: get|operation , predicted 1st: get|operation
Original: initialize , predicted 1st: get
Original: do|get , predicted 1st: do|get|content|body
Original: extract|result , predicted 1st: create|body|body
Original: setup , predicted 1st: set|headers
Original: test|many , predicted 1st: test|read|object|array
Original: file|stats|to|string , predicted 1st: to|string
Original: rename , predicted 1st: do|rename
Original: get|internal|state , predicted 1st: get|current|state
Original: get|start|time , predicted 1st: get|start|time
Original: get|initial|classpath , predicted 1st: get|initial|classpath|classpath
Original: get|partial|committed|output , predicted 1st: get|output|output
Original: set|conf , predicted 1st: set
Original: test|check|path|with|default|port , predicted 1st: test|path
Original: set|finish|time , predicted 1st: set|time
Original: test|aux|services|meta , predicted 1st: test|get|service
Original: test|blob|md|store|off|by|default , predicted 1st: test|blob|blob
Original: get|counters , predicted 1st: get
Original: get|scheme , predicted 1st: get
Original: test|block|reader|local|immediate|close , predicted 1st: test|run
Original: test|multiple|acl|spec|parsing|without|permissions , predicted 1st: test|add
Original: test|array|file , predicted 1st: test
Original: test|write|new|file , predicted 1st: test|read
Original: test|store|blob|md , predicted 1st: test
Original: get|failed|attempt|id , predicted 1st: get|failed|failed
Original: get|running|attempt , predicted 1st: get
Original: run|heart|beat|throw|out|exception , predicted 1st: do|test
Original: get|rm|container , predicted 1st: get|container|container|container|container
Original: initialize , predicted 1st: do|execute
Original: main , predicted 1st: main
Original: get|f|sof|path , predicted 1st: get|default|file
Original: get|modification|time , predicted 1st: get|time|time
Original: get|num|successful|jobs , predicted 1st: get|total|total
Original: get|buffer , predicted 1st: get|buffer
Original: set|up , predicted 1st: set|up
Original: create|name|node|proxy , predicted 1st: get|server
Original: is|recovery|supported , predicted 1st: is|supported|supported
Original: set|x|attr , predicted 1st: resolve
Original: next , predicted 1st: do|create
Original: get|epoch , predicted 1st: get|int
Original: next|source , predicted 1st: close
Original: resolve|link , predicted 1st: get|path
Original: get|quota , predicted 1st: get
Original: set|chunks|per|packet , predicted 1st: set
Original: test|amrm|client|on|amrm|token|roll|over , predicted 1st: test
Original: run , predicted 1st: get|application|protocol
Original: fake|racks , predicted 1st: get|all|all
Original: remove|cache|directive , predicted 1st: remove
Original: generate|sequential|bytes , predicted 1st: get|byte|byte
Original: compute|content|summary , predicted 1st: get|summary
Original: list|status|internal , predicted 1st: read
Original: should|attempt|preemption , predicted 1st: is
Original: get|i|ps , predicted 1st: get|host
Original: test|delete|empty|directory , predicted 1st: test|delete|path
Original: apply|previous , predicted 1st: apply
Original: test|delete|empty|directory , predicted 1st: test|delete|directory
Original: create|client|datanode|protocol|proxy , predicted 1st: create
Original: seek|to|new|source , predicted 1st: is|valid
Original: add|next|value , predicted 1st: set
Original: test|metrics|on|file|create|read , predicted 1st: test
Original: get|tcp|no|delay , predicted 1st: get|no|running
Original: fix|relative|part , predicted 1st: get|path
Original: length , predicted 1st: length
Original: get|task|attempt|path , predicted 1st: get|path
Original: inc|dfs|used , predicted 1st: add
Original: advance , predicted 1st: foo
Original: shut|down , predicted 1st: run
Original: load|ssl|conf|to|http|server|builder , predicted 1st: get
Original: set|source|paths , predicted 1st: set|source|paths
Original: commit|task , predicted 1st: execute
Original: get|encrypt|data|transfer , predicted 1st: is|transfer|transfer
Original: get|zkfc|address , predicted 1st: get|address|address
Original: get|path|name , predicted 1st: get|path
Original: test|create|flag|append|non|existing|file , predicted 1st: test|get|root|path
Original: create|resource|request , predicted 1st: create|request|request
Original: remaining|capacity , predicted 1st: get
Original: delete , predicted 1st: do|delete
Original: do|call , predicted 1st: delete
Original: next , predicted 1st: delete
Original: get|ha|nn|web|hdfs|addresses , predicted 1st: get
Original: set|replication , predicted 1st: get|max|max|tasks
Original: get|resource|as|value , predicted 1st: get
Original: close , predicted 1st: method
Original: main , predicted 1st: main
Original: map , predicted 1st: do|start
Original: run , predicted 1st: run
Original: list|located|status , predicted 1st: resolve
Original: next , predicted 1st: list
Original: read|fields , predicted 1st: read
Original: increase|used|resources , predicted 1st: add
Original: set|multiplexer , predicted 1st: set
Original: set|u|mask , predicted 1st: set
Original: refresh|nodes , predicted 1st: refresh|nodes
Original: get|max|queue|memory|capacity , predicted 1st: get|max|max|memory|size
Original: first|dn|with|block , predicted 1st: read|index
Original: get|splits , predicted 1st: get|splits
Original: get|block|token , predicted 1st: get|block|block
Original: search , predicted 1st: get
Original: list|status , predicted 1st: resolve
Original: next , predicted 1st: list
Original: bytes|string , predicted 1st: get|string
Original: map , predicted 1st: write|value
Original: match|edit|logs , predicted 1st: edit|file
Original: poll , predicted 1st: wait
Original: get|internal|url , predicted 1st: get|url
Original: create|file , predicted 1st: create|file
Original: mkdir , predicted 1st: internal|internal
Original: update|attempt , predicted 1st: update
Original: extract|output|key|value , predicted 1st: set|field|value
Original: get|output|stream , predicted 1st: get|output|stream
Original: signal|not|empty , predicted 1st: run
Original: reinitialize , predicted 1st: set|value
Original: run , predicted 1st: test
Original: compute|steady|shares , predicted 1st: run
Original: parse|help|argument , predicted 1st: check
Original: test|glob|status|with|multiple|wild|card|matches , predicted 1st: test|root|path
Original: check|dirs , predicted 1st: check|check
Original: read|fully , predicted 1st: write
Original: add|key|suffixes , predicted 1st: add|suffix
Original: create|datanode|storage|infos , predicted 1st: get
Original: get|file|block|storage|locations , predicted 1st: get|block|block
Original: get|ugi , predicted 1st: get
Original: stringify|data|statistics , predicted 1st: get|data
Original: add|input|paths , predicted 1st: add|input|path
Original: set|parameters , predicted 1st: set|parameters
Original: read , predicted 1st: get|data
Original: get|all|blocks , predicted 1st: get|all|blocks
Original: main , predicted 1st: main
Original: test|mkdir|non|recursive|with|non|existing|dir , predicted 1st: test|get|root|path
Original: get|x|attrs , predicted 1st: get|name
Original: do|call , predicted 1st: get|name
Original: next , predicted 1st: get
Original: access|previous , predicted 1st: get|previous
Original: test|rename|directory|move|to|existing|directory , predicted 1st: test|exists
Original: get|key , predicted 1st: get|key
Original: get|pos , predicted 1st: get
Original: add|space|consumed , predicted 1st: add|add|space
Original: test|delete|non|existent|file , predicted 1st: test|delete
Original: test|glob|status|filter|with|multiple|path|wildcards|and|non|trivial|filter , predicted 1st: test|path
Original: create , predicted 1st: insert
Original: check|access|by|file|methods , predicted 1st: check
Original: get|file|mask , predicted 1st: get|file
Original: get|file|checksum , predicted 1st: get|file
Original: do|call , predicted 1st: get|file
Original: next , predicted 1st: get|file
Original: is|local , predicted 1st: is|local
Original: set|log|path , predicted 1st: set|log|path
Original: is|starved|for|fair|share , predicted 1st: is|resource
Original: get|listing|file|path , predicted 1st: get|file|path
Original: initialize , predicted 1st: set|working
Original: get|split|hosts|and|cached|hosts , predicted 1st: get
Original: get|acl|status , predicted 1st: resolve
Original: next , predicted 1st: get|status
Original: add|pb|protocol , predicted 1st: execute
Original: set|map|count , predicted 1st: get|num|num
Original: wait|for|datanode|death , predicted 1st: wait
Original: get|space|consumed , predicted 1st: get
Original: next|key|value , predicted 1st: close
Original: main , predicted 1st: test
Original: check|access , predicted 1st: has|access
Original: count|ready|bytes , predicted 1st: size
Original: get|snapshot|by|name , predicted 1st: get|snapshot
Original: do|build|listing , predicted 1st: build|options
Original: get|value , predicted 1st: get|file|name
Original: get|used|node|capacity , predicted 1st: get|node|node
Original: get|configuration|input|stream , predicted 1st: open
Original: check|closed , predicted 1st: close
Original: create|file|non|recursive , predicted 1st: get|test|file
Original: get|abstract|file|system , predicted 1st: get|file
Original: run , predicted 1st: get|system|file|system
Original: check|dir|access , predicted 1st: check
Original: get|namenode|service|addr , predicted 1st: get|service
Original: clear , predicted 1st: clear
Original: get|command|line|args|string , predicted 1st: get|command|line|line
Original: human|time , predicted 1st: get|time
Original: needs|task|commit , predicted 1st: execute
Original: test|empty|create|flag , predicted 1st: test|get|root|path
Original: test|create|file|with|null|name , predicted 1st: test|create|file|name
Original: get|record|reader , predicted 1st: create|object
Original: next , predicted 1st: is|available
Original: create|key , predicted 1st: get|object
Original: create|value , predicted 1st: get|object
Original: get|pos , predicted 1st: get
Original: close , predicted 1st: method
Original: get|progress , predicted 1st: get
Original: check|and|close , predicted 1st: is|close
Original: disable|system|halt , predicted 1st: reset|system|system|system
Original: get|content|summary , predicted 1st: get|content|summary
Original: do|call , predicted 1st: get|content|summary
Original: next , predicted 1st: get|content|summary
Original: get|first|non|empty|queue , predicted 1st: get
Original: write , predicted 1st: append
Original: get|files|per|directory , predicted 1st: get|files|files
Original: service|init , predicted 1st: init
Original: get|num|processors , predicted 1st: get|num|num
Original: has|secure|channel , predicted 1st: is|show
Original: get|done|file|name , predicted 1st: get|job|job
Original: get|queue|user|acl|info , predicted 1st: get|portlet|info
Original: run , predicted 1st: run
Original: compute|shares , predicted 1st: run
Original: add|suffix , predicted 1st: get|suffix
Original: get|default|block|size , predicted 1st: get|default|size
Original: get|cpu|frequency , predicted 1st: get|frequency
Original: identify|hosts , predicted 1st: sort
Original: read , predicted 1st: read
Original: get|remote|ugi , predicted 1st: get|user|group
Original: get|first|halt|exception , predicted 1st: get|first
Original: get|secondary|name|service|id , predicted 1st: get|instance|id
Original: glob|status , predicted 1st: status
Original: get|progress , predicted 1st: read
Original: close , predicted 1st: close
Original: get|delegation|token , predicted 1st: get|token
Original: get|path , predicted 1st: get|file|path
Original: disable|system|exit , predicted 1st: set|system|system|system|system
Original: set|generation|stamp , predicted 1st: set|stamp|stamp
Original: flush|and|sync , predicted 1st: flush
Original: get|application , predicted 1st: do|read|data|data
Original: is|in , predicted 1st: is
Original: set|drop|behind , predicted 1st: set
Original: close , predicted 1st: close
Original: get|file , predicted 1st: get|file
Original: get|application|attempts , predicted 1st: get|data|data|data|data
Original: init|internal , predicted 1st: set|config|config
Original: set|sync|folder , predicted 1st: validate|folder
Original: get|proto , predicted 1st: 
Original: subtract , predicted 1st: set
Original: skip , predicted 1st: skip
Original: compare , predicted 1st: compare
Original: set|artificial|slowdown , predicted 1st: set
Original: get|sasl|props|resolver , predicted 1st: get|resolver|resolver
Original: get|copy|strategy , predicted 1st: get|copy|strategy
Original: get|random|id , predicted 1st: get|int
Original: init , predicted 1st: generate
Original: remove|encryption|zone , predicted 1st: remove
Original: write|raw , predicted 1st: write
Original: scan , predicted 1st: test
Original: assign|to , predicted 1st: rename
Original: get|committed|task|path , predicted 1st: get|task|path
Original: halt , predicted 1st: do|test
Original: append|file , predicted 1st: write
Original: get|locality|threshold|node , predicted 1st: get|default|threshold
Original: error|details , predicted 1st: get|error
Original: test|mkdirs|fails|for|subdirectory|of|existing|file , predicted 1st: test|get|root|path
Original: round|up , predicted 1st: get|resource
Original: get|archive|timestamps , predicted 1st: get
Original: set|up , predicted 1st: set|up
Original: get|encryption|algorithm , predicted 1st: get
Original: get|major|version , predicted 1st: get|index|count
Original: byte|array|bytes , predicted 1st: get|path
Original: get|last|tx|id , predicted 1st: get
Original: get|list , predicted 1st: get|list
Original: get|archive|visibilities , predicted 1st: is
Original: finalize|upgrade , predicted 1st: test|upgrade
Original: set|times , predicted 1st: 
Original: do|call , predicted 1st: do|process
Original: next , predicted 1st: do|get
Original: get|num|chunks|left , predicted 1st: get|left|left
Original: create|scheduling|request , predicted 1st: add|app
Original: get|available|physical|memory|size , predicted 1st: get
Original: search|snapshot , predicted 1st: search
Original: escape|delimiters , predicted 1st: replace
Original: get|path|info , predicted 1st: get|path|info
Original: create|scheduling|request , predicted 1st: create|request
Original: get|file|context|helper , predicted 1st: get|test|context|context
Original: node|update , predicted 1st: get|container|container
Original: create|splits , predicted 1st: get|splits
Original: is|in|progress , predicted 1st: is
Original: create , predicted 1st: write
Original: reconcile , predicted 1st: run
Original: append|to|file , predicted 1st: write
Original: string|bytes , predicted 1st: get|bytes
Original: check , predicted 1st: check
Original: renew , predicted 1st: get|token
Original: test|multi|byte|files|are|files , predicted 1st: test|multi|bytes
Original: set|should|skip|fsync|for|testing , predicted 1st: set|skip|skip|skip
Original: parse|application|attempt|finish|data , predicted 1st: parse
Original: data|to|target , predicted 1st: get
Original: get|x|attrs , predicted 1st: get
Original: get|name|service|id|from|address , predicted 1st: get|name
Original: create|key|provider|crypto|extension , predicted 1st: get|provider
Original: list|located|status , predicted 1st: get
Original: has|next , predicted 1st: is
Original: has|next|no|filter , predicted 1st: next
Original: next , predicted 1st: get
Original: subtract , predicted 1st: set
Original: test|rename|directory|to|itself , predicted 1st: test|rename
Original: create , predicted 1st: create
Original: sort|listing , predicted 1st: create
Original: test|rename|root|dir|forbidden , predicted 1st: test|rename
Original: remove|node , predicted 1st: remove
Original: parse|application|finish|data , predicted 1st: parse
Original: should|ignore|failures , predicted 1st: is|ignore|failures
Original: get|position , predicted 1st: get|state
Original: create|input|file|listing , predicted 1st: copy
Original: get|public|url , predicted 1st: get|public|url
Original: get|num|edits|loaded , predicted 1st: get|loaded
Original: run , predicted 1st: get|error
Original: get|used|resource , predicted 1st: get|resource
Original: set|required|service|hadoop|conf , predicted 1st: set
Original: get|variance , predicted 1st: get
Original: process , predicted 1st: execute
Original: is|closed , predicted 1st: is|closed
Original: get|content , predicted 1st: get
Original: generate|sentence , predicted 1st: new|int
Original: get|info|server , predicted 1st: create
Original: copy , predicted 1st: do|get
Original: get|absolute|test|root|path , predicted 1st: make
Original: accept , predicted 1st: test
Original: get|all|keys , predicted 1st: get|all|keys
Original: get|trace|signature , predicted 1st: get|path
Original: get|eventlog|dir , predicted 1st: get|log|log
Original: is|disk|usage|under|percentage|limit , predicted 1st: is
Original: parse|application|start|data , predicted 1st: parse
Original: get|scheme , predicted 1st: get|uri|uri
Original: get|input|path|filter , predicted 1st: get|class
Original: completed|container , predicted 1st: handle|container
Original: add , predicted 1st: add
Original: get|num|sync , predicted 1st: get|sync|shards
Original: get|containers , predicted 1st: get|data|data|data|data
Original: get|file|id , predicted 1st: get|file|id
Original: offer , predicted 1st: is|available
Original: next|valid|op , predicted 1st: get
Original: refresh , predicted 1st: test
Original: test|list|status|throws|exception|for|non|existent|file , predicted 1st: test|root|root
Original: get|usage , predicted 1st: get|usage
Original: get|listening|string , predicted 1st: get|path
Original: validate|conf , predicted 1st: set|default|scheduler|default|default|scheduler
Original: map|dist|cache|file|path , predicted 1st: get|path
Original: get|log|files , predicted 1st: get|log|log
Original: create|file|non|recursive , predicted 1st: create|test|file
Original: get|continuous|scheduling|sleep|ms , predicted 1st: get|complete
Original: test|create|recursive|with|non|existing|dir , predicted 1st: test|root|path
Original: contextualize , predicted 1st: set
Original: await , predicted 1st: run
Original: service|start , predicted 1st: start
Original: test|rename|child|dir|forbidden , predicted 1st: test|rename
Original: get|value|string , predicted 1st: to|string
Original: test|mkdir|recursive|with|existing|dir , predicted 1st: test|get|root|root|path
Original: scan|next|op , predicted 1st: read
Original: new|stream|for|append , predicted 1st: create|output
Original: next|op|impl , predicted 1st: read
Original: set|bytes , predicted 1st: set|version
Original: undo|delete , predicted 1st: remove
Original: get|zkfc|port , predicted 1st: get|id
Original: check|access , predicted 1st: has|queue
Original: get|previous|epoch , predicted 1st: get|previous
Original: set|ssl|configuration|file , predicted 1st: set|configuration|configuration
Original: reset|leader|election , predicted 1st: run
Original: get|deviation , predicted 1st: get|double
Original: tear|down , predicted 1st: test|delete
Original: kick , predicted 1st: run
Original: get|log|file , predicted 1st: get|file
Original: test|write|read|and|delete|one|and|a|half|blocks , predicted 1st: test|read
Original: apply|current , predicted 1st: apply
Original: read|fields , predicted 1st: read
Original: test|write|in|non|existent|directory , predicted 1st: test|exists
Original: close|all , predicted 1st: set
Original: get|test|root|path , predicted 1st: make
Original: get|num|containers , predicted 1st: get|num|num
Original: test|statistics|operations , predicted 1st: test|stats
Original: run , predicted 1st: run
Original: is|dir , predicted 1st: is|dir
Original: bytes|string , predicted 1st: bytes|bytes
Original: halt , predicted 1st: do|test
Original: delete|nonexisting , predicted 1st: do|test
Original: execute , predicted 1st: do|test
Original: get|last|snapshot|id , predicted 1st: get|last|last|key|last
Original: read|fields , predicted 1st: read|from
Original: create|response , predicted 1st: build|error
Original: commit|job , predicted 1st: commit
Original: flush , predicted 1st: flush
Original: find|lowest|common|ancestor|queue , predicted 1st: get|queue
Original: create|application|with|am|resource , predicted 1st: on|event|event
Original: create|socket|for|pipeline , predicted 1st: create|socket
Original: create , predicted 1st: set|double
Original: update|preemption|variables , predicted 1st: run
Original: get|x|attrs , predicted 1st: resolve
Original: next , predicted 1st: get
Original: clear , predicted 1st: process|and|blocks|blocks
Original: test|delete|on|exit|unexisting , predicted 1st: test|delete|path
Original: mkdirs|with|exists|and|permission|check , predicted 1st: check
Original: merge|container|history|data , predicted 1st: start|data|data
Original: set|append , predicted 1st: set|append
Original: test|append , predicted 1st: write
Original: write|data , predicted 1st: do|test
Original: get|output|path , predicted 1st: get|output|path
Original: test|rename|file|to|existing|parent , predicted 1st: test|rename
Original: get|target|ugi , predicted 1st: get
Original: go , predicted 1st: test
Original: cleanup , predicted 1st: test|delete
Original: get|path , predicted 1st: get|file
Original: get|initial|len , predicted 1st: get|initial|file|size
Original: test|over|write|and|read , predicted 1st: test
Original: get|split|ratio , predicted 1st: get|split
Original: do|tail|edits , predicted 1st: test
Original: is|file , predicted 1st: is|file
Original: get|last|load|timestamp , predicted 1st: get|last|load|timestamp
Original: test|fc|copy , predicted 1st: test|file|path
Original: get|input|trace|signature , predicted 1st: get|trace|trace
Original: test|get|file|status|throws|exception|for|non|existent|file , predicted 1st: test|get|root|root|path
Original: get|min|share , predicted 1st: get|min
Original: create|file , predicted 1st: create|file
Original: send|file|descriptors , predicted 1st: send|file
Original: get|receive|buffer|size , predicted 1st: get|socket
Original: get|file|size , predicted 1st: get|file|size
Original: set|ready|to|flush , predicted 1st: close
Original: container|started , predicted 1st: run
Original: create|configuration , predicted 1st: get|scheduler|scheduler
Original: reset , predicted 1st: reset
Original: verify|expected|cache|usage , predicted 1st: get|expected|cache
Original: get , predicted 1st: is
Original: release , predicted 1st: close
Original: get|data|layout|version , predicted 1st: get|layout|version|version
Original: clear , predicted 1st: reset
Original: open , predicted 1st: open
Original: hsync , predicted 1st: sync|sync|sync|flags|sync
Original: list|encryption|zones , predicted 1st: get
Original: check|move|validity , predicted 1st: check|to|to
Original: verify|files|equal , predicted 1st: do|test
Original: create|file , predicted 1st: create|file
Original: get|link|target , predicted 1st: get|file
Original: next , predicted 1st: get|file|link
Original: test|write|read|and|delete|half|a|block , predicted 1st: test
Original: get|num|map|tasks , predicted 1st: get|num
Original: remove|default|acl , predicted 1st: remove
Original: do|call , predicted 1st: remove
Original: next , predicted 1st: remove
Original: check|if|usage|over|fair|share , predicted 1st: is|resource
Original: get|applicable|depth , predicted 1st: get|any
Original: do|upgrade , predicted 1st: do|upgrade
Original: divide , predicted 1st: get|resource|as|value
Original: is|block|meta|file , predicted 1st: is|valid
Original: compute|available|containers , predicted 1st: get
Original: divide|and|ceil , predicted 1st: create|resource
Original: update|root|queue|metrics , predicted 1st: run
Original: get|fs|status , predicted 1st: resolve
Original: next , predicted 1st: get|status
Original: close , predicted 1st: method
Original: create|scheduling|request , predicted 1st: create|request
Original: valid|options , predicted 1st: is|valid|options
Original: test|delete|non|existing|file , predicted 1st: test|delete
Original: list|encryption|zones , predicted 1st: get
Original: get|scheduling|policy , predicted 1st: get|policy
Original: add|encryption|zone , predicted 1st: add
Original: get|compress|output , predicted 1st: is|output|output
Original: write|op , predicted 1st: write
Original: test|create|flag|overwrite|existing|file , predicted 1st: test|create|existing
Original: map , predicted 1st: read
Original: set , predicted 1st: set
Original: check|name|node|health , predicted 1st: set|file|system|file
Original: get|queue|info , predicted 1st: get|queue|info
Original: configure , predicted 1st: set|job|job
Original: is|open , predicted 1st: is|open
Original: abort , predicted 1st: close
Original: count|buffers|of|size , predicted 1st: get|size|size
Original: is|testable|file|name|on|platform , predicted 1st: is|valid
Original: do|finalize , predicted 1st: do|do
Original: get|ugi , predicted 1st: get
Original: get|link|target , predicted 1st: get|link
Original: do|call , predicted 1st: get|path
Original: next , predicted 1st: get|target|link
Original: should|force|sync , predicted 1st: is
Original: compute|diff|between|snapshots , predicted 1st: is
Original: run , predicted 1st: wait
Original: get|secure|random , predicted 1st: get
Original: check|if|usage|over|fair|share , predicted 1st: is|in|resource
Original: pre|failover|checks , predicted 1st: do|failed
Original: from|avro , predicted 1st: get
Original: get|trust|managers , predicted 1st: get
Original: print|usage , predicted 1st: get
Original: delete , predicted 1st: resolve
Original: next , predicted 1st: delete
Original: save|namespace , predicted 1st: save
Original: roll|edits , predicted 1st: test
Original: set|generic|conf , predicted 1st: set|id
Original: write|raw , predicted 1st: write
Original: get|one|line|message , predicted 1st: get|message
Original: anonymize|path , predicted 1st: get|token
Original: get|delegation|tokens , predicted 1st: get|token|list
Original: get|all|blocks , predicted 1st: get|all|blocks
Original: get|num|current|replicas , predicted 1st: get|current|block
Original: write|read|and|delete , predicted 1st: test|get
Original: service|init , predicted 1st: get|default
Original: get|trusted|channel|resolver , predicted 1st: get|channel|resolver
Original: compare|to , predicted 1st: compare
Original: validate|paths , predicted 1st: write|options
Original: create|scheduling|request , predicted 1st: create|app|id|id
Original: bytes|to|long , predicted 1st: get|long
Original: save|child|snapshot , predicted 1st: add|snapshot
Original: get|maximum|allocation , predicted 1st: get|default|scheduler
Original: check|file|system|acl|support , predicted 1st: set
Original: test|zero|byte|files|are|files , predicted 1st: test
Original: get|total|num|records , predicted 1st: get|number|number
Original: add , predicted 1st: set
Original: get|last|renewed , predicted 1st: get|last
Original: test|glob|status|with|multiple|matches|of|single|char , predicted 1st: test|root|path
Original: notify|fatal|error , predicted 1st: handle|error
Original: compare|fs , predicted 1st: is|valid
Original: create|file|non|recursive , predicted 1st: create
Original: take , predicted 1st: set|holder
Original: get|encryption|zone|for|path , predicted 1st: get
Original: set|quota , predicted 1st: 
Original: do|call , predicted 1st: do|process
Original: next , predicted 1st: do|call
Original: multiply|and|normalize|up , predicted 1st: get|resource
Original: create|input|directory , predicted 1st: get
Original: get|input|stream , predicted 1st: get|input|stream|stream
Original: to|array , predicted 1st: get
Original: start|log|segment , predicted 1st: start
Original: get|long , predicted 1st: get|value
Original: is|blacklisted , predicted 1st: is
Original: recover|lease , predicted 1st: resolve
Original: do|call , predicted 1st: is
Original: next , predicted 1st: 
Original: apply|previous , predicted 1st: get|next
Original: get|good|dirs , predicted 1st: get|local|files
Original: list|status|iterator , predicted 1st: get|status
Original: to|response , predicted 1st: do|exception
Original: test|rename|file|to|non|existent|directory , predicted 1st: test|rename
Original: test|mkdirs , predicted 1st: test|dir
Original: update|demand , predicted 1st: run
Original: run , predicted 1st: main
Original: get|corrupt|blocks|count , predicted 1st: get|blocks|count
Original: valid|options , predicted 1st: is|valid|options
Original: execute|move , predicted 1st: on|queue
Original: get|home|directory , predicted 1st: get|home|directory
Original: execute , predicted 1st: get
Original: run , predicted 1st: run
Original: cache|groups|add , predicted 1st: set|groups
Original: maybe|init|builder , predicted 1st: foo
Original: abort|job , predicted 1st: do|read|state
Original: test|input|stream|closed|twice , predicted 1st: test
Original: read|fields , predicted 1st: read
Original: create|chunk , predicted 1st: create
Original: fetch|file|list , predicted 1st: get
Original: task|result|string , predicted 1st: get|name
Original: set|write|timeout , predicted 1st: set|timeout
Original: add|streams|to|collection|from|files , predicted 1st: add|log
Original: set|owner , predicted 1st: do|resolve
Original: next , predicted 1st: do|process
Original: set|public|url , predicted 1st: set|public|url
Original: start , predicted 1st: start
Original: get|default|working|directory , predicted 1st: get|root
Original: continuous|scheduling|attempt , predicted 1st: test
Original: failover , predicted 1st: do|execute
Original: create|file , predicted 1st: do|create
Original: wait|replication , predicted 1st: wait
Original: to|encryption|zone , predicted 1st: get
Original: write|bench , predicted 1st: get|output|output
Original: spec|to|string , predicted 1st: get|output|value
Original: get|conf , predicted 1st: get
Original: check|files , predicted 1st: read
Original: get|i|ps , predicted 1st: get|i
Original: set|target|path|exists , predicted 1st: is|exists|exists
Original: reverse|dns , predicted 1st: get
Original: create , predicted 1st: create|output|stream
Original: do|call , predicted 1st: get|output|stream|stream
Original: next , predicted 1st: create|output|stream|stream
Original: get|split|ratio , predicted 1st: get|split
Original: write , predicted 1st: write|to
Original: get|file|status , predicted 1st: get|file|status
Original: wait|corrupt|replicas , predicted 1st: test
Original: get|permission|status , predicted 1st: get|status|permission
Original: get|min|resources , predicted 1st: get|resources
Original: string|task|result , predicted 1st: get|result
Original: get|key , predicted 1st: get|key
Original: get|value , predicted 1st: get|result
Original: set|value , predicted 1st: execute
Original: create|encryption|zone , predicted 1st: get|path
Original: get|target|path|exists , predicted 1st: is|target|path|exists
Original: add|row , predicted 1st: test
Original: terminate|called , predicted 1st: is|first
Original: get|max|applications , predicted 1st: get|max|max
Original: add|ssl|files|to|dist|cache , predicted 1st: add
Original: clean|deleted|i|node , predicted 1st: do|get
Original: set|working|directory , predicted 1st: set|working|path
