Original: cols|new , predicted 1st: add|attribute|new|new
Original: get|elapsed|time|new , predicted 1st: get|time|new|new
Original: get|record|writer|new , predicted 1st: create|new|new|new
Original: write , predicted 1st: append
Original: close , predicted 1st: close
Original: get|record|reader|new , predicted 1st: create|input|file|as|text|new
Original: to|startup|shutdown|string|new , predicted 1st: to|string|new|new
Original: unregister|new , predicted 1st: register|new|new|new
Original: get|user|new , predicted 1st: get|user|info|new|new
Original: get|block|input|stream|new , predicted 1st: get|new|new|new
Original: get|current|secret|new , predicted 1st: get|new|new
Original: do|work|new , predicted 1st: run|new|new|new
Original: add|transition|new , predicted 1st: add|new|new
Original: format|time|diff|new , predicted 1st: get|time|time|new|new
Original: get|host|and|port|new , predicted 1st: get|host|name|new|new
Original: clear|new , predicted 1st: clear|new|new|new
Original: reset|new , predicted 1st: close|new|new|new
Original: escape|string|new , predicted 1st: escape|string|new|new
Original: new|instance|new , predicted 1st: new|record|new|new
Original: get|priorities|new , predicted 1st: get|app|info|new|new
Original: get|default|entries|new , predicted 1st: get|default|entries|new|new
Original: extract|token|new , predicted 1st: decode|from|url|from|new
Original: create|direct|decompressor|new , predicted 1st: get|new|new
Original: main|new , predicted 1st: do|test|new|new|new
Original: update|new , predicted 1st: load|new|status|new|status
Original: dir|iterable|new , predicted 1st: get|dir|dir|new|new
Original: iterator , predicted 1st: iterator
Original: check|data|dir|new , predicted 1st: test|get|new|new
Original: get|elapsed|time|new , predicted 1st: get|new|new|new
Original: set|new , predicted 1st: get|new|new|new
Original: set|sequence|file|output|value|class|new , predicted 1st: set|output|binary|file|new|new
Original: build|negotiate|response|new , predicted 1st: build|new|new
Original: rename|new , predicted 1st: create|response|new|new
Original: get|job|tracker|host|port|new , predicted 1st: get|address|new|new
Original: post|cmd|new , predicted 1st: set|exit|code|new|new
Original: get|remaining|new , predicted 1st: get|new|new
Original: load|deleted|list|new , predicted 1st: get|deleted|list|new|new
Original: add|heartbeat|new , predicted 1st: add|new|new|new
Original: roll|blocks|scheduled|new , predicted 1st: set|blocks|blocks|new|blocks
Original: get|users|for|netgroup|new , predicted 1st: get|users|new|new|new
Original: exists|new , predicted 1st: is|open|new|new
Original: set|owner|new , predicted 1st: set|owner|new|new
Original: get|num|dead|data|nodes|new , predicted 1st: get|size|new|new
Original: copy|failed|new , predicted 1st: check|new|new
Original: get|container|id|new , predicted 1st: get|container|id|new|new
Original: write|all|new , predicted 1st: write|properties|new|new
Original: read|new , predicted 1st: read|new|new|new
Original: go|new , predicted 1st: read|new|new|new
Original: can|skip|new , predicted 1st: is|same|new|new
Original: get|last|disk|error|check|new , predicted 1st: get|check|check|check|check|new
Original: is|enabled|new , predicted 1st: is|disabled|new|new
Original: set|datanode|uuid|new , predicted 1st: set|uuid|new|new
Original: number|of|tokens|new , predicted 1st: get|token|count|new|new
Original: write|new , predicted 1st: write|to|new|new
Original: get|do|as|new , predicted 1st: get|value|new|new
Original: get|table|name|new , predicted 1st: get|table|name|new|new
Original: handle|failures|new , predicted 1st: write|new|new|new
Original: set|balancer|bandwidth|new , predicted 1st: set|new|new
Original: maybe|init|builder|new , predicted 1st: new|builder|new|new|new
Original: get|canonical|service|name|new , predicted 1st: get|service|name|new|new
Original: get|canonical|service|name|new , predicted 1st: get|configuration|name|new|new
Original: report|checksum|failure|new , predicted 1st: report|failure|new|new
Original: num|blocks|new , predicted 1st: get|blocks|new|new
Original: get|datanode|descriptor|new , predicted 1st: get|new|new
Original: check|sasl|complete|new , predicted 1st: get|failed|new|new
Original: set|x|attr|new , predicted 1st: build|x|access|new|new
Original: do|get|new , predicted 1st: get|default|servlet|request|new|new
Original: get|servlet|path , predicted 1st: get|name|string
Original: trigger|block|report|new , predicted 1st: wait|for|trigger|trigger|for|trigger|new
Original: search|prefixes|new , predicted 1st: add|new|new|new
Original: get|rm|identifer|new , predicted 1st: get|identifier|new|new
Original: cover|column|new , predicted 1st: get|row|new|new
Original: register|commands|new , predicted 1st: create|factory|new|new
Original: set|permission|new , predicted 1st: set|permission|new|new
Original: register|commands|new , predicted 1st: add|factory|new|new
Original: find|best|column|new , predicted 1st: get|current|column|new|new
Original: is|decommission|in|progress|new , predicted 1st: is|new|new
Original: get|delegation|token|new , predicted 1st: parse|token|new|new|new
Original: set|priority|new , predicted 1st: set|priority|new|new
Original: incr|blocks|cached|new , predicted 1st: set|new|new
Original: authorize|get|and|stop|container|request|new , predicted 1st: get|status|new|new
Original: init|new , predicted 1st: main|new|new|new
Original: content|new , predicted 1st: get|sub|class|new|new
Original: remove|file|being|written|new , predicted 1st: remove|new|new|new
Original: sync|block|new , predicted 1st: check|block
Original: update|framework|group|mapping|new , predicted 1st: add|new|new|new
Original: get|time|new , predicted 1st: get|time|new|new
Original: obtain|delegation|token|authenticator|new , predicted 1st: create|instance|new|new
Original: rename|new , predicted 1st: do|rename|new|new
Original: get|pmem|allocated|for|containers|new , predicted 1st: get|max|new
Original: get|exit|status|new , predicted 1st: get|status|new|new|new
Original: get|hdfs|blocks|metadata|new , predicted 1st: method|new|new|new
Original: transfer|replica|for|pipeline|recovery|new , predicted 1st: get|data|new|new
Original: create|data|node|new , predicted 1st: get|data|new|new
Original: set|x|attrs|new , predicted 1st: set|x|new|new
Original: is|inactive|new , predicted 1st: is|new|new
Original: get|flag|new , predicted 1st: get|flag|new|new
Original: close|new , predicted 1st: close|new|new|new
Original: or|new , predicted 1st: filter|new|new|new
Original: renew|tokens|new , predicted 1st: read|new|new|new
Original: modify|cache|pool|new , predicted 1st: cache|cache|new|new
Original: write|byte|new , predicted 1st: write|long|new|new
Original: set|external|delegation|token|secret|manager|new , predicted 1st: set|token|type|new|new
Original: get|bpos|for|block|new , predicted 1st: get|block|new|new|new
Original: get|distr|new , predicted 1st: sort|new|new|new
Original: set|commit|directory|new , predicted 1st: set|new|new
Original: dump|stats|new , predicted 1st: get|string|new|new
Original: abort|new , predicted 1st: close|new|new|new
Original: write|value|new , predicted 1st: get|size|new|new
Original: version|new , predicted 1st: get|version|new|new
Original: get|random|local|interface|addr|new , predicted 1st: get|new|new
Original: set|allocated|resource|new , predicted 1st: set|resource|new|new
Original: get|instance|new , predicted 1st: get|instance|new|new
Original: configure|new , predicted 1st: set|job|new|new
Original: generate|full|segment|new , predicted 1st: create|result|new|result|new
Original: get|output|stream|new , predicted 1st: get|output|stream|new|new
Original: get|copy|listing|new , predicted 1st: create|new|new
Original: get|dir|path|new , predicted 1st: get|path|dir|new|new
Original: next|event|new , predicted 1st: get|next|event|event|new|new
Original: set|heartbeats|disabled|for|tests|new , predicted 1st: set|disabled|for|tests|new
Original: main|new , predicted 1st: main|new|new|new
Original: sequential|test|new , predicted 1st: write|new|new|new
Original: write|header|and|response|new , predicted 1st: write|to|new|new|new
Original: write|and|read|new , predicted 1st: do|test|new|new|new
Original: create|new , predicted 1st: create|new|new|new
Original: count|new , predicted 1st: get|count|new|new
Original: update|new , predicted 1st: set|path|new|new
Original: get|checksum|header|size|new , predicted 1st: get|size|new|new
Original: add|into|corrupted|block|map|new , predicted 1st: add|new|new|new
Original: clear|new , predicted 1st: test|new|new|new
Original: get|conf|new , predicted 1st: get|conf|new|new
Original: get|default|read|caching|strategy|new , predicted 1st: get|default|strategy|new|new
Original: get|hedged|read|ops|loop|num|for|testing|new , predicted 1st: get|read|new
Original: incr|volume|failures|new , predicted 1st: test|new|new|new
Original: get|splitter|new , predicted 1st: get|sql|new|new
Original: assert|deleted|new , predicted 1st: assert|file|new|new
Original: get|class|by|name|new , predicted 1st: get|class|new|new
Original: call|init|replica|recovery|new , predicted 1st: create|recovery|recovery|new|new
Original: set|input|order|by|new , predicted 1st: set|new|new
Original: date|to|string|new , predicted 1st: get|string|new|new
Original: create|input|stream|new , predicted 1st: create|input|stream|new|new
Original: throttle|new , predicted 1st: new|new|new|new
Original: hflush|new , predicted 1st: test|new|new|new
Original: post|cmd|new , predicted 1st: get|exit|code|new|new
Original: set|cache|used|new , predicted 1st: set|cache|cache|new|new
Original: get|replica|visible|length|new , predicted 1st: get|visible|length|new|new
Original: set|container|token|new , predicted 1st: set|token|new|new
Original: get|priority|new , predicted 1st: get|priority|new|new
Original: get|output|stream|new , predicted 1st: get|std|out|new|new
Original: list|paths|new , predicted 1st: list|paths|new|new
Original: remove|counter|group|new , predicted 1st: remove|new|new|new
Original: get|xfer|addr|new , predicted 1st: get|new|new
Original: get|wrapped|stream|new , predicted 1st: get|out|out|new|new
Original: set|resource|new , predicted 1st: set|resource|new|new
Original: write|int|new , predicted 1st: write|new|new|new
Original: normalize|new , predicted 1st: create|resource|new|new
Original: get|vmem|limit|new , predicted 1st: get|limit|new|new
Original: secure|main|new , predicted 1st: main|new|new|new
Original: set|container|id|new , predicted 1st: set|container|id|new|new
Original: recompute|schedule|cache|new , predicted 1st: test|cache|new|new
Original: get|heartbeat|manager|new , predicted 1st: get|active|manager|manager|new
Original: add|replace|block|op|new , predicted 1st: add|new|new|new
Original: new|socket|new , predicted 1st: get|socket|socket|new|new
Original: authorize|new , predicted 1st: get|user|user|new|new
Original: write|bool|new , predicted 1st: print|error|new|new
Original: update|decryptor|new , predicted 1st: init|new|new|new
Original: get|file|length|new , predicted 1st: get|length|new|new
Original: set|decommissioned|new , predicted 1st: set|up|new|new
Original: get|value|new , predicted 1st: get|value|new|new
Original: do|filter|new , predicted 1st: do|filter|new|new|new
Original: get|and|increment|new , predicted 1st: get|count|new|new|new
Original: map|new , predicted 1st: create|new|new|new
Original: add|write|block|op|new , predicted 1st: add|write|new|new
Original: wait|exit|safe|mode|new , predicted 1st: is|in|mode|in|mode|new
Original: get|providers|new , predicted 1st: get|url|new|new
Original: block|report|new , predicted 1st: build|response|new
Original: get|vmem|allocated|for|containers|new , predicted 1st: get|max|new
Original: remove|renew|action|new , predicted 1st: remove|new|new|new
Original: reset|new , predicted 1st: reset|new|new|new
Original: refresh|super|user|groups|configuration|new , predicted 1st: get|configuration|new|new
Original: add|counter|groups|to|proto|new , predicted 1st: get|all|groups|map|new
Original: iterator , predicted 1st: get|all|map|map|map
Original: remove , predicted 1st: remove
Original: next , predicted 1st: get|key|map|map
Original: has|next , predicted 1st: has|next
Original: convert|to|proto|format|new , predicted 1st: get|priority|new|new
Original: maybe|init|builder|new , predicted 1st: new|builder|new|new|new
Original: main|new , predicted 1st: do|test|new|new|new
Original: set|quota|new , predicted 1st: set|new|new
Original: get|test|provider|new , predicted 1st: get|test|provider|new|new
Original: get|cause|if|disk|error|new , predicted 1st: read|error|new|new
Original: request|new , predicted 1st: get|request|new|new
Original: round|down|new , predicted 1st: create|resource|new|new
Original: register|mx|bean|new , predicted 1st: register|bean|node|node|name|new
Original: get|container|token|new , predicted 1st: get|token|token|new|new
Original: read|string|new , predicted 1st: read|new|new|new
Original: get|datanode|by|xfer|addr|new , predicted 1st: get|by|new|new
Original: get|capacity|new , predicted 1st: get|new|new
Original: parse|exec|result|new , predicted 1st: read|new|new|new
Original: new|instance|new , predicted 1st: create|container|container|new|new
Original: get|snapshottable|dir|listing|new , predicted 1st: get|dir|new|new
Original: create|dir|new , predicted 1st: add|parent|new|new
Original: get|commit|directory|new , predicted 1st: get|commit|new|new
Original: update|state|new , predicted 1st: set|new|new
Original: cached|or|computed|priority|level|new , predicted 1st: get|priority|level|new|new
Original: get|proto|new , predicted 1st: build|new|new
Original: get|available|new , predicted 1st: get|space|new|new
Original: mkdir|new , predicted 1st: create|parent|new|new
Original: primitive|append|new , predicted 1st: get|file|path|new|new
Original: input|stream|removal|listener|new , predicted 1st: create|new|new|new
Original: on|removal , predicted 1st: close|stream
Original: check|buffer|size|new , predicted 1st: get|buffer|size|new|new
Original: close|new , predicted 1st: close|new|new|new
Original: incr|blocks|get|local|path|info|new , predicted 1st: test|new|new|new
Original: verify|and|get|container|token|identifier|new , predicted 1st: get|token|token|new|new
Original: get|context|new , predicted 1st: get|context|new|new
Original: path|string|new , predicted 1st: get|path|new|new
Original: get|input|query|new , predicted 1st: get|input|query|new|new
Original: transfer|block|new , predicted 1st: create|new|new
Original: get|bp|scanner|new , predicted 1st: get|block|new|block|new
Original: fetch|from|datanode|exception|new , predicted 1st: method|new|new|new
Original: set|peer|host|name|new , predicted 1st: set|host|name|new|new
Original: clear|all|block|secret|keys|new , predicted 1st: set|all|pool|names|new
Original: positioned|read|check|new , predicted 1st: test|long|new|new
Original: set|priority|new , predicted 1st: set|priority|new|new
Original: fail|new , predicted 1st: invoke|new|new|new
Original: read|new , predicted 1st: read|new|new|new
Original: save|namespace|new , predicted 1st: get|code|new|new
Original: remove|acl|new , predicted 1st: remove|jms|exception|new|exception
Original: report|bad|blocks|new , predicted 1st: do|receive|new|new
Original: create|tmp|file|new , predicted 1st: create|file|new|new
Original: rolling|upgrade|new , predicted 1st: get|action|new|new
Original: buckets|words|new , predicted 1st: get|max|size|new|new
Original: rollback|new , predicted 1st: set|new|new
Original: maybe|init|builder|new , predicted 1st: new|builder|new|new|new
Original: get|all|contexts|new , predicted 1st: get|context|context|new|new
Original: init|args|new , predicted 1st: set|up|new|new
Original: send|oob|to|peers|new , predicted 1st: send|upgrade|new|new
Original: to|application|id|new , predicted 1st: get|app|id|new|new
Original: get|invalidate|blocks|new , predicted 1st: get|all|blocks|new|new
Original: get|diagnostics|new , predicted 1st: get|new|new|new
Original: set|fields|from|properties|new , predicted 1st: set|properties|new|new
Original: get|datanode|info|new , predicted 1st: get|info|new|new
Original: read|header|new , predicted 1st: read|from|new|new
Original: set|new , predicted 1st: set|new|new
Original: dec|level|new , predicted 1st: method|new|new|new
Original: to|datanode|infos|new , predicted 1st: get|new|new
Original: get|kind|new , predicted 1st: get|kind|new|new
Original: new|connected|peer|new , predicted 1st: create|new|new|new
Original: get|buffer|pool|new , predicted 1st: create|buffer|new|new
Original: get|buffer , predicted 1st: get|byte
Original: put|buffer , predicted 1st: write|buffer
Original: get|disk|status|new , predicted 1st: get|status|new|new
Original: fetch|datanodes|new , predicted 1st: remove|new|new
Original: test|get|pos|new , predicted 1st: read|new|new|new
Original: remove|from|corrupt|replicas|map|new , predicted 1st: remove|new|new|new
Original: serialize|new , predicted 1st: write|object|new|new
Original: add|send|data|packet|blocked|on|network|nanos|new , predicted 1st: add|new|new|new
Original: set|exit|status|new , predicted 1st: set|status|status|new|status|new
Original: set|input|count|query|new , predicted 1st: set|query|new|new
Original: new|instance|new , predicted 1st: create|new|new
Original: write|new , predicted 1st: write|new|new|new
Original: close|new , predicted 1st: set|status|new|new
Original: check|absolute|capacities|new , predicted 1st: check|new|new
Original: get|dependent|jobs|new , predicted 1st: get|new|new
Original: get|proxy|superuser|group|conf|key|new , predicted 1st: get|user|groups|new|new
Original: alloc|slot|new , predicted 1st: get|id|new|new|new
Original: convert|from|proto|format|new , predicted 1st: create|resource|new|new
Original: set|cache|capacity|new , predicted 1st: set|cache|cache|new|new
Original: get|xceiver|count|new , predicted 1st: get|count|new|new
Original: convert|from|proto|format|new , predicted 1st: create|new|new|new
Original: get|capacity|new , predicted 1st: get|total|space|new|new
Original: get|field|names|new , predicted 1st: get|field|names|new|new
Original: get|priority|new , predicted 1st: get|priority|new|new
Original: get|final|crc|new , predicted 1st: get|global|global|new|new
Original: test|available|new , predicted 1st: test|read|read|new|new
Original: build|app|proto|new , predicted 1st: to|build|new|new
Original: get|checksum|size|new , predicted 1st: get|size|new|new
Original: append|new , predicted 1st: create|new|new|new
Original: get|default|block|size|new , predicted 1st: get|default|client|size|new
Original: pop|context|new , predicted 1st: set|up|new|new
Original: update|crc|new , predicted 1st: set|global|global|global|new|new
Original: set|output|new , predicted 1st: set|field|names|new|new
Original: shutdown|datanode|new , predicted 1st: do|process|new|new
Original: run , predicted 1st: run
Original: get|datanode|statistics|new , predicted 1st: get|manager|manager|new|new
Original: get|current|cpu|usage|new , predicted 1st: get|cpu|time|new|new
Original: get|decay|period|millis|new , predicted 1st: get|period|period|new|new
Original: input|stream|loader|new , predicted 1st: get|input|stream|new|stream
Original: load , predicted 1st: open|stream
Original: get|dfs|used|percent|new , predicted 1st: get|new|new
Original: create|app|dirs|new , predicted 1st: set|app|app|dir|new
Original: create|connection|new , predicted 1st: set|connection|class|new|new
Original: get|datanodes|software|versions|new , predicted 1st: get|new|new
Original: test|positioned|read|new , predicted 1st: test|read|read|new|new
Original: remove|default|acl|new , predicted 1st: remove|default|new|new
Original: get|last|lease|renewal|new , predicted 1st: get|last|last|new
Original: get|cached|new , predicted 1st: get|cached|model|new|new
Original: set|message|new , predicted 1st: set|message|new|new
Original: link|blocks|helper|new , predicted 1st: create|link
Original: accept , predicted 1st: is|file
Original: accept , predicted 1st: is|file
Original: create|target|dirs|with|retry|new , predicted 1st: execute|new|new|new
Original: reject|root|operation|new , predicted 1st: add|root|root|new|new
Original: set|num|stale|nodes|new , predicted 1st: set|num|nodes|new|new
Original: handle|new , predicted 1st: process|new|new|new
Original: remove|datanode|new , predicted 1st: remove|node|new|new
Original: send|oob|new , predicted 1st: send|new|new|new
Original: get|block|pool|scanner|new , predicted 1st: get|scanner|new|new
Original: new|data|checksum|new , predicted 1st: new|new|data|new|new
Original: set|block|report|count|new , predicted 1st: set|block|block|block|block|new
Original: read|new , predicted 1st: get|int|new|new|new
Original: render|json|new , predicted 1st: to|json|new|new
Original: get|absolute|max|avail|capacity|new , predicted 1st: get|active
Original: append|new , predicted 1st: get|file|new|new
Original: get|allocated|resource|new , predicted 1st: get|resource|new|new
Original: open|new , predicted 1st: open|new|new|new
Original: start|localizer|new , predicted 1st: create|app|system|dir|new
Original: get|progress|new , predicted 1st: get|length|new|new
Original: get|namenode|new , predicted 1st: get|new|new
Original: get|pos|new , predicted 1st: get|bytes|new|new
Original: cache|report|new , predicted 1st: build|response|new|new
Original: set|err|out|new , predicted 1st: set|out|out|new|new
Original: get|data|new , predicted 1st: get|data|new|new
Original: set|balancer|bandwidth|new , predicted 1st: set|new|new
Original: set|display|name|new , predicted 1st: set|display|name|new|new
Original: is|client|running|new , predicted 1st: is|running|new|new
Original: get|hedged|read|ops|in|cur|thread|new , predicted 1st: get|read|in|new
Original: should|avoid|stale|data|nodes|for|write|new , predicted 1st: is|use|data|new|new
Original: set|exported|keys|new , predicted 1st: set|keys|new|new
Original: read|new , predicted 1st: read|new|new|new
Original: init|token|manager|new , predicted 1st: set|up
Original: get|application|submitter|new , predicted 1st: get|app|new|new
Original: refresh|namenodes|new , predicted 1st: refresh|new|new|new
Original: start|data|node|new , predicted 1st: set|up|new
Original: run|job|new , predicted 1st: get|new|new|new
Original: bind|to|new , predicted 1st: set|up|new|new
Original: remove|counter|new , predicted 1st: remove|new|new|new
Original: get|delay|new , predicted 1st: convert|new|new|new
Original: get|output|field|count|new , predicted 1st: get|field|field|count|new
Original: set|out|new , predicted 1st: set|out|new|new
Original: skip|new , predicted 1st: get|new|new|new
Original: format|size|new , predicted 1st: get|size|new|new
Original: incr|bytes|written|new , predicted 1st: set|delta|new|new
Original: service|start|new , predicted 1st: start|new|new|new
Original: run , predicted 1st: run
Original: process|path|new , predicted 1st: do|process|new|new|new
Original: set|tokens|new , predicted 1st: set|tokens|new|new
Original: print|usage|new , predicted 1st: print|new|new|new
Original: test|seek|new , predicted 1st: test|new|new
Original: var|new , predicted 1st: get|new|new
Original: trash|enabled|new , predicted 1st: is|new|new
Original: get|startup|option|new , predicted 1st: get|new|new
Original: check|datanode|uuid|new , predicted 1st: get|uuid|new|new
Original: cancel|all|new , predicted 1st: cancel|new|new|new
Original: post|head|new , predicted 1st: configure|new|new
Original: set|counter|group|new , predicted 1st: add|user|set|new|new
Original: get|attribute|new , predicted 1st: get|attribute|attribute|new|new
Original: new|crc|new , predicted 1st: get|new|new
Original: convert|from|proto|format|new , predicted 1st: create|priority|new|new
Original: is|local|address|new , predicted 1st: is|local|local|new|new
Original: get|block|iterator|new , predicted 1st: get|storage|new|new
Original: write|data|new , predicted 1st: write|new|new|new
Original: check|datanode|uuid|new , predicted 1st: test|new|and|create|new
Original: convert|to|proto|format|new , predicted 1st: get|node|new|new
Original: get|input|bounding|query|new , predicted 1st: get|input|query|new|new
Original: clear|counter|groups|new , predicted 1st: clear|new|new|new
Original: get|space|quota|new , predicted 1st: get|space|new|new
Original: set|heartbeats|disabled|for|tests|new , predicted 1st: set|disabled|disabled|disabled|new
Original: wait|for|init|new , predicted 1st: wait|new|new|new
Original: get|lfs|new , predicted 1st: get|file|file|new|new
Original: release|buffer|new , predicted 1st: release|buffer|new|new
Original: create|internal|new , predicted 1st: create|new|new|new
Original: get|proto|new , predicted 1st: build|new|new
Original: get|create|file|new , predicted 1st: get|new|new
Original: add|packet|ack|round|trip|time|nanos|new , predicted 1st: add|new|new|new
Original: get|xmits|in|progress|new , predicted 1st: get|progress|in|progress|new|new
Original: incr|bytes|read|new , predicted 1st: read|bytes|new|new
Original: get|interface|new , predicted 1st: get|new|new
Original: get|number|of|blocks|to|be|invalidated|new , predicted 1st: get|blocks|new|new
Original: is|stale|new , predicted 1st: is|update|new|new
Original: get|container|id|new , predicted 1st: get|container|container|id|new|new
Original: compare|to|new , predicted 1st: compare|to|new|new
Original: check|open|new , predicted 1st: close|new|new|new
Original: read|buffer|new , predicted 1st: read|new|new|new
Original: get|client|context|new , predicted 1st: get|client|context|new|new
Original: get|all|secret|keys|new , predicted 1st: get|keys|new|new
Original: verify|chunked|sums|new , predicted 1st: do|verify|new|new
Original: read|with|strategy|new , predicted 1st: check|new|new
Original: get|null|context|new , predicted 1st: get|context|context|new|new
Original: to|datanode|infos|new , predicted 1st: to|new|new|new
Original: create|wrapped|output|stream|new , predicted 1st: get|output|stream|new|new
Original: create|record|reader|new , predicted 1st: create|record|record|reader|new
Original: get|uid|new , predicted 1st: get|m|new|new
Original: set|connection|configurator|new , predicted 1st: set|connection|connection|new|new
Original: is|pre|upgradable|layout|new , predicted 1st: do|process|new|new
Original: check|arg|new , predicted 1st: get|new|new|new
Original: free|db|new , predicted 1st: clean|up|new|new
Original: get|thresholds|new , predicted 1st: get|new|new
Original: clear|counters|new , predicted 1st: clear|new|new|new
Original: get|name|new , predicted 1st: get|name|new|new
Original: get|last|caching|directive|sent|time|ms|new , predicted 1st: get|last|time|time|time|new
Original: add|speculative|attempt|new , predicted 1st: handle|task|new|new
Original: fetch|block|at|new , predicted 1st: do|add|new|new|new
Original: write|string|new , predicted 1st: write|string|new|new
Original: reduce|new , predicted 1st: write|new|new|new
Original: increment|version|count|new , predicted 1st: set|version|new|new
Original: set|drop|behind|new , predicted 1st: drop|drop|new|new
Original: set|statement|new , predicted 1st: set|statement|new|new
Original: is|decommissioned|new , predicted 1st: is|admin|new|new
Original: set|capability|new , predicted 1st: set|target|target|new|new
Original: add|new , predicted 1st: add|container|container|new|new
Original: cancel|delegation|token|new , predicted 1st: check|token|new|new
Original: get|splits|new , predicted 1st: create|new|new|new
Original: new|instance|new , predicted 1st: create|container|new|new|new
Original: get|file|count|new , predicted 1st: get|file|count|new|new
Original: verify|read|new , predicted 1st: read|new|new|new
Original: incr|blocks|verified|new , predicted 1st: test|new|new|new
Original: set|node|http|address|new , predicted 1st: set|http|address|new|new
Original: get|current|key|new , predicted 1st: get|key|new|new
Original: is|method|supported|new , predicted 1st: is|supported|supported|new|new
Original: add|to|corrupt|replicas|map|new , predicted 1st: add|new|new
Original: read|new , predicted 1st: read|new|new|new
Original: main|new , predicted 1st: main|new|new|new
Original: get|total|call|volume|new , predicted 1st: get|total|new|new
Original: print|usage|exit|new , predicted 1st: test|new|new|new
Original: handle|new , predicted 1st: on|event|new|new|new
Original: get|input|table|name|new , predicted 1st: get|table|name|new|new
Original: get|filter|parameters|new , predicted 1st: get|new|new|new
Original: set|up|new , predicted 1st: set|up|new|new|new
Original: set|assigned|node|new , predicted 1st: set|node|id|new|new
Original: verify|file|new , predicted 1st: verify|new|new|new
Original: set|should|send|caching|commands|new , predicted 1st: set|send|send|enabled|new
Original: set|dependent|host|names|new , predicted 1st: set|dependent|list|new|new
Original: set|output|field|names|new , predicted 1st: set|field|field|names|new
Original: add|column|new , predicted 1st: add|column|new|new
Original: initialize|max|age|new , predicted 1st: init|new|new|new
Original: begin|file|lease|new , predicted 1st: add|new|new|new
Original: add|dependent|host|name|new , predicted 1st: add|host|new|new
Original: reset|new , predicted 1st: clear|new|elements|new
Original: is|osx|new , predicted 1st: is|new|new
Original: pre|head|new , predicted 1st: set|new|new
Original: add|cache|pool|new , predicted 1st: add|cache|pool|new|new
Original: update|reg|info|new , predicted 1st: set|node|new|new
Original: token|refetch|needed|new , predicted 1st: is|access|exception|new|new
Original: register|datanode|new , predicted 1st: build|new|new|new
Original: do|finalize|new , predicted 1st: run|new|new|new
Original: run , predicted 1st: run
Original: to|string , predicted 1st: get|base|path|path
Original: main|new , predicted 1st: main|new|new|new
Original: restart|notify|peers|new , predicted 1st: run|new|new|new
Original: get|dfs|used|new , predicted 1st: get|dfs|new|new
Original: print|block|report|new , predicted 1st: print|error|new|new
Original: report|check|sum|failure|new , predicted 1st: add|new|new
Original: delete|missing|new , predicted 1st: create|new|new
Original: add|block|pool|storage|new , predicted 1st: put|new|new|new
Original: get|select|query|new , predicted 1st: get|query|string|new
Original: parse|identity|provider|new , predicted 1st: get|identity|provider|new|new
Original: get|datanode|read|timeout|new , predicted 1st: get|maximum|timeout|new|new
Original: get|container|id|new , predicted 1st: get|container|id|new|new
Original: get|block|storage|locations|new , predicted 1st: get|block|block|new|new
Original: rm|new , predicted 1st: delete|new|new|new
Original: run|block|scanner|for|block|new , predicted 1st: verify|block|new|new
Original: check|superuser|privilege|new , predicted 1st: check|user|new|new
Original: get|proxy|groups|new , predicted 1st: get|groups|new|new
Original: set|output|table|name|new , predicted 1st: set|table|name|new|new
Original: get|files|new , predicted 1st: get|files|new|new
Original: create|countdown|oom|action|new , predicted 1st: create|new|new|new
Original: add|secret|key|new , predicted 1st: put|new|keys|new
Original: compute|max|active|applications|per|user|new , predicted 1st: get|max|max|new|new
Original: check|stream|new , predicted 1st: close|new|new|new
Original: get|expiry|time|stamp|new , predicted 1st: get|time|stamp|new|new
Original: next|new , predicted 1st: get|next|file|new|new
Original: flush|new , predicted 1st: flush|new|new|new
Original: remove|acl|entries|new , predicted 1st: remove|mapped|new|new
Original: get|config|version|new , predicted 1st: get|version|new|new
Original: shutdown|new , predicted 1st: remove|thread|thread|new|new
Original: is|restarting|new , predicted 1st: get|upgrade|requests|new|new
Original: get|counter|new , predicted 1st: get|block|size|new|new
Original: set|input|bounding|query|new , predicted 1st: set|query|new|new
Original: get|new , predicted 1st: init|new|new|new
Original: run , predicted 1st: get
Original: get|header|length|new , predicted 1st: get|header|length|new|new
Original: build|listing|new , predicted 1st: build|new|new|new
Original: are|block|contents|stale|new , predicted 1st: is|contents|block|new|new
Original: create|data|node|new , predicted 1st: create|data|new|new
Original: compute|max|active|applications|new , predicted 1st: get|max|new|new
Original: get|option|description|listing|new , predicted 1st: get|new|new
Original: print|usage|exit|new , predicted 1st: print|usage|new|new
Original: add|flush|nanos|new , predicted 1st: add|new|new|new
Original: is|pmem|check|enabled|new , predicted 1st: is|check|check|enabled|new
Original: store|array|new , predicted 1st: set|name|new|new
Original: get|ipc|addr|new , predicted 1st: get|new|new
Original: init|new , predicted 1st: initialize|new|new|new
Original: supports|symlinks|new , predicted 1st: supports|new|new
Original: incr|blocks|removed|new , predicted 1st: remove|new|new|new
Original: do|delegation|token|operation|new , predicted 1st: get|new|url|new
Original: convert|from|proto|format|new , predicted 1st: create|resource|new|new
Original: get|remote|ugi|new , predicted 1st: get|current|user|new|new
Original: get|exec|string|new , predicted 1st: get|path|new|new
Original: serialize|new , predicted 1st: write|new|new|new
Original: close|new , predicted 1st: close|new|new|new
Original: cleanup|new , predicted 1st: check|new|new|new
