Original: get|min|height , predicted 1st: get|min|height
Original: new|instance , predicted 1st: create|instance
Original: get|short , predicted 1st: load|short
Original: create|ambient , predicted 1st: to|color
Original: swig|director|ray|result|callback|add|single|result , predicted 1st: add|single|single|result
Original: delegate , predicted 1st: 
Original: set|x , predicted 1st: set
Original: create|entry , predicted 1st: create|entry
Original: get|collision|filter|group , predicted 1st: get|result
Original: end|contact , predicted 1st: set|contact
Original: needs|collision , predicted 1st: do|body
Original: max|size , predicted 1st: set|max|width
Original: set|blending , predicted 1st: set
Original: create|entry , predicted 1st: create|entry
Original: initialize|velocity|constraints , predicted 1st: test
Original: x|slider|moved , predicted 1st: is|equal
Original: begin , predicted 1st: run
Original: create|entry , predicted 1st: create|entry
Original: hex|to|bytes , predicted 1st: get|bytes
Original: width , predicted 1st: set|width
Original: set|cache|time , predicted 1st: set|cache|cache|cache
Original: button , predicted 1st: get|button|button
Original: write|chars , predicted 1st: write
Original: reset , predicted 1st: reset
Original: get|c|ptr , predicted 1st: get
Original: get|c|ptr , predicted 1st: get
Original: is|equal , predicted 1st: is|key
Original: draw|triangle , predicted 1st: write
Original: sort|with|indices , predicted 1st: create|entry
Original: initialize , predicted 1st: index|to
Original: lerp , predicted 1st: 
Original: as|float|buffer , predicted 1st: get|read|read|read|buffer
Original: height , predicted 1st: set|height
Original: dispose , predicted 1st: dispose
Original: extension , predicted 1st: get|name
Original: needs|collision , predicted 1st: is|proxy
Original: remove|index , predicted 1st: remove|index
Original: get|element|size , predicted 1st: get
Original: put|short , predicted 1st: set|value
Original: sort , predicted 1st: sort
Original: render|world , predicted 1st: run
Original: bytes|to|string , predicted 1st: get|string
Original: report|error|warning , predicted 1st: set|error
Original: rgba|to|color , predicted 1st: set|color
Original: draw , predicted 1st: draw
Original: bind|texture , predicted 1st: create
Original: initialize|components , predicted 1st: create|center|panel
Original: update , predicted 1st: set|cache
Original: create|actor|group , predicted 1st: create|entry
Original: act , predicted 1st: do|by|code
Original: act , predicted 1st: set|scale
Original: new|decal , predicted 1st: set
Original: get|y , predicted 1st: get|position
Original: get|chain|circle|contact|stack , predicted 1st: get
Original: get|collision|filter|mask , predicted 1st: get|result
Original: size , predicted 1st: set
Original: zero , predicted 1st: set
Original: get|g|deactivation|time , predicted 1st: get|time
Original: drag|start , predicted 1st: input
Original: create|entry , predicted 1st: create|entry
Original: create|entry , predicted 1st: create|entry
Original: gallop|right , predicted 1st: get
Original: set|g|disable|deactivation , predicted 1st: set
Original: create|entry , predicted 1st: create|entry
Original: add|source , predicted 1st: add
Original: drag|start , predicted 1st: stop
Original: drag , predicted 1st: add
Original: drag|stop , predicted 1st: handle|event
Original: text , predicted 1st: create|label
Original: get|scale|y , predicted 1st: get|scale
Original: shuffle , predicted 1st: 
Original: render , predicted 1st: run
Original: swig|director|contact|listener|on|contact|ended|swig , predicted 1st: set
Original: initialize|components , predicted 1st: run
Original: action|performed , predicted 1st: action|performed
Original: action|performed , predicted 1st: action|performed
Original: action|performed , predicted 1st: action|performed
Original: look|at , predicted 1st: set
Original: duplicate , predicted 1st: get|buffer
Original: get|stage|touch|down|y , predicted 1st: get|canceled|down
Original: set , predicted 1st: set
Original: rgba|to|color , predicted 1st: set|color
Original: get|num|managed|cubemaps , predicted 1st: get|size
Original: create , predicted 1st: test
Original: write|bytes , predicted 1st: write
Original: push|mat , predicted 1st: push
Original: truncate , predicted 1st: add
Original: get|default|vertex|shader , predicted 1st: get|default|default
Original: read|boolean , predicted 1st: read
Original: create|entry , predicted 1st: create|entry
Original: quicksort|partition , predicted 1st: get|up
Original: init , predicted 1st: init
Original: swig|director|bt|triangle|convexcast|callback|report|hit , predicted 1st: 
Original: pop|mat , predicted 1st: 
Original: get|frequency , predicted 1st: get|frequency
Original: new|decal , predicted 1st: set
Original: put , predicted 1st: get|buffer|buffer
Original: begin , predicted 1st: set|context
Original: to|array , predicted 1st: to|byte|array
Original: size , predicted 1st: get|size
Original: min|width , predicted 1st: min
Original: pref|width , predicted 1st: set|width
Original: create|entry , predicted 1st: create|entry
Original: button|up , predicted 1st: is|index
Original: create|entry , predicted 1st: create|entry
Original: draw , predicted 1st: draw
Original: execute|iteration , predicted 1st: set
Original: swig|director|contact|listener|on|contact|ended|swig , predicted 1st: set
Original: protected|array , predicted 1st: get|weight
Original: create|entry , predicted 1st: create|entry
Original: to|float|bits , predicted 1st: get|float|to|float
Original: set|stage , predicted 1st: set|stage
Original: create|entry , predicted 1st: create|entry
Original: get|collision , predicted 1st: get
Original: create|entry , predicted 1st: create|entry
Original: get , predicted 1st: get
Original: create|entry , predicted 1st: create|entry
Original: set|viewport|transform , predicted 1st: set|transform
Original: create , predicted 1st: test
Original: solve|position|constraints , predicted 1st: get
Original: get|scale|x , predicted 1st: get|scale
Original: distance|to|rgb , predicted 1st: get
Original: min|height , predicted 1st: min|min
Original: max|height , predicted 1st: max|max|height
Original: update|contact|info , predicted 1st: test
Original: get|tree|balance , predicted 1st: get|max|max
Original: get|type , predicted 1st: get|type
Original: get|pad|x , predicted 1st: get
Original: clear , predicted 1st: clear
Original: create|entry , predicted 1st: create|entry
Original: combine|attributes , predicted 1st: get|attributes
Original: get|joints , predicted 1st: get
Original: swig|director|contact|listener|on|contact|destroyed , predicted 1st: set|user
Original: read|long , predicted 1st: read|int
Original: main , predicted 1st: main
Original: pop , predicted 1st: get
Original: get|viewport|tranform , predicted 1st: get|transform
Original: pop , predicted 1st: get|stack|stack
Original: mul , predicted 1st: set
Original: get|actor , predicted 1st: get
Original: get|distance , predicted 1st: get
Original: get|button|table , predicted 1st: get|table|table
Original: slice , predicted 1st: get|buffer
Original: mul , predicted 1st: 
Original: touch|up , predicted 1st: on|event
Original: end , predicted 1st: end
Original: main , predicted 1st: main
Original: set , predicted 1st: set
Original: load|int , predicted 1st: get|bytes
Original: flush , predicted 1st: render
Original: end , predicted 1st: test
Original: bind , predicted 1st: bind
Original: set|rotation|z , predicted 1st: set
Original: draw|string , predicted 1st: draw
Original: create|entry , predicted 1st: create|entry
Original: render , predicted 1st: render
Original: swig|director|contact|result|callback|needs|collision , predicted 1st: is
Original: swig|director|contact|listener|on|contact|processed|swig , predicted 1st: set|alternative|store
Original: create|specular , predicted 1st: create|color
Original: push|vec , predicted 1st: push
Original: set|color , predicted 1st: set|color
Original: set|dictionary|size , predicted 1st: create
Original: reset , predicted 1st: test
Original: touch|down , predicted 1st: is|canceled
Original: bind|material , predicted 1st: set|attributes
Original: swig|director|bt|triangle|callback|process|triangle , predicted 1st: process
Original: copy , predicted 1st: get|attribute
Original: swig|director|contact|listener|on|contact|processed|swig , predicted 1st: set
Original: clear , predicted 1st: clear|all|groups
Original: get|touch|down|y , predicted 1st: get|tear|down
Original: create|entry , predicted 1st: create|entry
Original: set|scaling , predicted 1st: set
Original: destroy , predicted 1st: add|contact
Original: new|drawable , predicted 1st: new
Original: read , predicted 1st: read|json
Original: create|entry , predicted 1st: create|entry
Original: can|execute , predicted 1st: is|valid
Original: is|force|scroll|y , predicted 1st: is|scroll|scroll
Original: free|all , predicted 1st: all|all
Original: resize , predicted 1st: create|new|items
Original: get|angle|around , predicted 1st: get|last|width
Original: len , predicted 1st: get
Original: initialize , predicted 1st: set|body
Original: as|read|only|buffer , predicted 1st: copy
Original: tick , predicted 1st: set|last
Original: set|y , predicted 1st: set|y
Original: set|color , predicted 1st: set
Original: update|relative , predicted 1st: set
Original: x , predicted 1st: 
Original: set|height , predicted 1st: set|height
Original: pop , predicted 1st: get|size
Original: test|from|string , predicted 1st: test|from|string
Original: solve|toi|position|constraints , predicted 1st: create|entry
Original: set , predicted 1st: set
Original: set|amount , predicted 1st: set|amount
Original: create|entry , predicted 1st: create|entry
Original: set|catch|back|key , predicted 1st: set
Original: compact , predicted 1st: set|up
Original: is|disabled , predicted 1st: is|disabled
Original: set|force|scroll , predicted 1st: set|scroll
Original: get|max|self|collision|impulse , predicted 1st: get|max|batch|max|data|size
Original: create|entry , predicted 1st: create|entry
Original: get , predicted 1st: get
Original: create|entry , predicted 1st: create|entry
Original: get|mouse|wheel|y , predicted 1st: get|max|height
Original: end , predicted 1st: run
Original: switch|texture , predicted 1st: set
Original: compact , predicted 1st: get|double
Original: create|entry , predicted 1st: create|entry
Original: get|renderer , predicted 1st: get|renderer
Original: visual|scroll|y , predicted 1st: set|y|y
Original: get|self|collision|impulse|factor , predicted 1st: get|block|data|block|data
Original: get|adamping , predicted 1st: get|data|data|options
Original: set|resize|checking|enabled , predicted 1st: schedule
Original: create|entry , predicted 1st: create|entry
Original: slice , predicted 1st: get|array|read|buffer
Original: set , predicted 1st: 
Original: evaluate , predicted 1st: 
Original: get|font , predicted 1st: get
Original: create , predicted 1st: test
Original: begin , predicted 1st: init
Original: touch|dragged , predicted 1st: 
Original: init , predicted 1st: create|entry
Original: get|lift , predicted 1st: get|data|data|data
Original: activate|particles , predicted 1st: set
Original: show|dialog , predicted 1st: run
Original: create|entry , predicted 1st: create|entry
Original: fetch|attribute|location , predicted 1st: create|entry
Original: protected|array , predicted 1st: get|array
Original: set , predicted 1st: set
Original: get|local|anchor|b , predicted 1st: get|anchor
Original: create|method , predicted 1st: create|method
Original: dispose , predicted 1st: dispose
Original: normalize|any , predicted 1st: any
Original: copy , predicted 1st: write|to|array
Original: create|entry , predicted 1st: create|entry
Original: get|array|element|t , predicted 1st: test|type
Original: set|baumgarte , predicted 1st: set|data|data|data
Original: save , predicted 1st: write
Original: to|matrix , predicted 1st: 
Original: begin , predicted 1st: run
Original: set|low , predicted 1st: set|max
Original: get|max|list|count , predicted 1st: get|list|count
Original: line , predicted 1st: paint
Original: get|y|distance , predicted 1st: get|y
Original: compact , predicted 1st: get|text
Original: put|float , predicted 1st: put|int
Original: set|blending , predicted 1st: set
Original: get|projection|matrix , predicted 1st: get|projection
Original: new|drawable , predicted 1st: get
Original: get|node|indices , predicted 1st: node|node|node|node|node
Original: get|collision|flags , predicted 1st: get|data|data|data
Original: delete , predicted 1st: delete
Original: get|origin|x , predicted 1st: get|x
Original: create|entry , predicted 1st: create|entry
Original: ellipse , predicted 1st: set|max
Original: verify|correctness , predicted 1st: do|test
Original: is|compiled , predicted 1st: is|use
Original: test|point , predicted 1st: get
Original: set|max|list|count , predicted 1st: set|max|list|count
Original: set|scroll|bar|positions , predicted 1st: set|scroll|on|left
Original: protected|array|offset , predicted 1st: get|offset
Original: put|int , predicted 1st: set
Original: get|java|methods , predicted 1st: visit|type
Original: is|touched , predicted 1st: is
Original: set|capture , predicted 1st: set
Original: clear , predicted 1st: clear
Original: pack , predicted 1st: to|string
Original: set|vertices , predicted 1st: set
Original: is|compatible , predicted 1st: is|batch|batch
Original: is , predicted 1st: is
Original: create|entry , predicted 1st: create|entry
Original: create|entry , predicted 1st: to
Original: get|visual|scroll|y , predicted 1st: get|y|y
Original: add , predicted 1st: set|value
Original: get|gl|format , predicted 1st: get
Original: get|volume , predicted 1st: get|data|data|data
Original: to|string|test , predicted 1st: test|string
Original: get|region , predicted 1st: get|region
Original: create|entry , predicted 1st: create|entry
Original: length , predicted 1st: compare
Original: get|c|ptr , predicted 1st: get
Original: put , predicted 1st: write
Original: add|actor|at , predicted 1st: show
Original: get|uniform|size , predicted 1st: get
Original: add , predicted 1st: set
Original: create|entry , predicted 1st: create|entry
Original: setup|matrices , predicted 1st: set
Original: tick , predicted 1st: set|time
Original: create|entry , predicted 1st: create|entry
Original: read|unsigned|byte , predicted 1st: read|bytes
Original: get|triangles , predicted 1st: get
Original: resize , predicted 1st: to|array
Original: point , predicted 1st: paint|line
Original: is|scrolling|disabled|x , predicted 1st: is|x
Original: protected|array , predicted 1st: get|array
Original: put|long , predicted 1st: set|value
Original: set|page|width , predicted 1st: set|page|width
Original: create|entry , predicted 1st: create|entry
Original: iterator|test , predicted 1st: test|remove
Original: get|num|masses , predicted 1st: get|num|data|data|num|options
Original: new|drawable , predicted 1st: new
Original: create|save|data , predicted 1st: save|data|data
Original: after|group , predicted 1st: set|group
Original: read , predicted 1st: set|value
Original: get|emission , predicted 1st: get|value
Original: get|spawn|height , predicted 1st: get|value
Original: get|duration , predicted 1st: get|value|value
Original: create|world , predicted 1st: create|entry
Original: compact , predicted 1st: set
Original: incr , predicted 1st: set
Original: add|last , predicted 1st: set|value
Original: test|point , predicted 1st: create|entry
Original: copy , predicted 1st: read|to|array|array
Original: as|read|only|buffer , predicted 1st: get
Original: set|blending , predicted 1st: set
Original: needs|gl , predicted 1st: is
Original: resize , predicted 1st: update
Original: imports , predicted 1st: add|import
Original: set|dimensions , predicted 1st: set
Original: get|input|processor , predicted 1st: get|processor
Original: next|float , predicted 1st: get|float
Original: set|items , predicted 1st: set|items
Original: set|size , predicted 1st: set|width
Original: get|uniform|type , predicted 1st: get
Original: cpy , predicted 1st: get
Original: render , predicted 1st: create|entry
Original: correctness|test , predicted 1st: test
Original: get|roll|rad , predicted 1st: get
Original: find|method , predicted 1st: get|method
Original: set|array|element , predicted 1st: set|object
Original: compact , predicted 1st: get|short
Original: put , predicted 1st: set
Original: set|uniformi , predicted 1st: set|value
Original: set|active , predicted 1st: set|active
Original: get|swing|twist , predicted 1st: 
Original: generate|gaussian|blur|kernels , predicted 1st: get
Original: next|long , predicted 1st: get
Original: get|chart , predicted 1st: get
Original: load , predicted 1st: load
Original: get|height , predicted 1st: get|height
Original: create|entry , predicted 1st: create|entry
Original: draw|pixel , predicted 1st: draw
Original: write , predicted 1st: write
Original: get|origin|y , predicted 1st: get|y
Original: slerp , predicted 1st: create|entry
Original: set , predicted 1st: set
Original: set|timeline , predicted 1st: set
Original: create|entry , predicted 1st: create|entry
Original: new|array|c , predicted 1st: test|type
Original: get|listener , predicted 1st: get|listener|listener
Original: set|origin , predicted 1st: set
Original: set|width , predicted 1st: set|width
Original: evaluate , predicted 1st: on
Original: set|color , predicted 1st: set|style
Original: get|roll , predicted 1st: get
Original: choose , predicted 1st: get|preferred|width
Original: caused|by , predicted 1st: is|by|type
Original: create|entry , predicted 1st: create|entry
Original: create|entry , predicted 1st: create|entry
Original: get|padding , predicted 1st: get
Original: set|transform|matrix , predicted 1st: set|transform
Original: put , predicted 1st: set
Original: create|entry , predicted 1st: create|entry
Original: get|object , predicted 1st: get|object
Original: create|entry , predicted 1st: create|entry
Original: set , predicted 1st: set
Original: end , predicted 1st: test
Original: assert|values , predicted 1st: test
Original: create|entry , predicted 1st: create|entry
Original: to|array , predicted 1st: get|array
Original: map|library|name , predicted 1st: get|library|name|name
Original: key|up , predicted 1st: get|key
Original: get|pixels , predicted 1st: get|buffer
Original: create|entry , predicted 1st: create|entry
Original: is|read|only , predicted 1st: is
Original: create|hud , predicted 1st: set|up
Original: clicked , predicted 1st: on|input
Original: clicked , predicted 1st: on|input
Original: clicked , predicted 1st: on|input
Original: pause , predicted 1st: run
Original: set|position , predicted 1st: set
Original: get|normals , predicted 1st: get|m
Original: draw , predicted 1st: draw
Original: set|from|matrix , predicted 1st: is
Original: get|dependencies , predicted 1st: get
Original: first , predicted 1st: get|value
Original: contains , predicted 1st: is|equal
Original: create|entry , predicted 1st: create|entry
Original: rect|line , predicted 1st: draw|line
Original: get|bounding|rectangle , predicted 1st: get
Original: set|size , predicted 1st: set|height
Original: create|entry , predicted 1st: create|entry
Original: flush , predicted 1st: reset
Original: index|of , predicted 1st: compare
Original: get|scroll|y , predicted 1st: get|y
Original: recursive|select , predicted 1st: select
Original: set|array|element|t , predicted 1st: test|type
Original: set|framexform , predicted 1st: set|data|data
Original: is|binary , predicted 1st: contains|url
Original: set , predicted 1st: set
Original: put|double , predicted 1st: long|double
Original: new|drawable , predicted 1st: new
Original: free|all , predicted 1st: set
Original: get|log , predicted 1st: get|log|log
Original: compute|distance|to|out , predicted 1st: get
Original: add|actor , predicted 1st: show
Original: get|vertex , predicted 1st: get|index
Original: get|free , predicted 1st: get|size
Original: create|entry , predicted 1st: create|entry
Original: cross , predicted 1st: 
Original: resume , predicted 1st: test
Original: read|line , predicted 1st: read|line
Original: dispose , predicted 1st: run
Original: protected|array , predicted 1st: get|read|read|read
Original: create|entry , predicted 1st: create|entry
Original: scroll|y , predicted 1st: set|y
Original: set|programmatic|change|events , predicted 1st: set|change|change
Original: get|current|type , predicted 1st: get|type
Original: render , predicted 1st: run
Original: set|cancel|touch|focus , predicted 1st: set|focus|focus
Original: get|joint|angle , predicted 1st: get
Original: flush , predicted 1st: test|type
Original: create|entry , predicted 1st: create|entry
Original: get|mouse|wheel|x , predicted 1st: get|width
Original: as|read|only|buffer , predicted 1st: new|double
Original: set , predicted 1st: set
Original: length , predicted 1st: get
Original: get|bounding|rectangle , predicted 1st: get|bounds
Original: write|char , predicted 1st: write
Original: generate|smooth|noise , predicted 1st: get
Original: store|impl , predicted 1st: write
Original: modified , predicted 1st: run
Original: create|entry , predicted 1st: create|entry
Original: cancel , predicted 1st: clear
Original: update|visual|scroll , predicted 1st: set|vertical
Original: update , predicted 1st: test
Original: put|float , predicted 1st: read
Original: init , predicted 1st: init
Original: set|runnable , predicted 1st: set|runnable
Original: create|entry , predicted 1st: create|entry
Original: add , predicted 1st: get|result
Original: set|style , predicted 1st: set|style|style
Original: draw|pixel , predicted 1st: draw
Original: initialize , predicted 1st: set|body
Original: add|ragdoll , predicted 1st: test
Original: set|vimpulses , predicted 1st: set|data|data
Original: set|pose|match , predicted 1st: set|data|data|data
Original: get|motor|torque , predicted 1st: get
Original: disable|vertex|attribute , predicted 1st: set
Original: set|relative , predicted 1st: set|relative
Original: delete , predicted 1st: delete
Original: resume , predicted 1st: method
Original: create|entry , predicted 1st: create|entry
Original: set|velocity|y , predicted 1st: set|y
Original: fling , predicted 1st: set
Original: put|short , predicted 1st: set
Original: render , predicted 1st: run
Original: set , predicted 1st: add
Original: get , predicted 1st: get|short
Original: get|style , predicted 1st: get|style|style
Original: mul , predicted 1st: set
Original: set , predicted 1st: set
Original: set|depth|test , predicted 1st: set|depth|depth
Original: angular|impulse|matrix , predicted 1st: 
Original: center|of , predicted 1st: 
Original: get|value , predicted 1st: get|value
Original: is|scroll|y , predicted 1st: is|scroll|scroll
Original: get|pref|width , predicted 1st: get|width
Original: create|entry , predicted 1st: create|entry
Original: set|amount|x , predicted 1st: set|x
Original: add , predicted 1st: add|resource
Original: get|uniforms , predicted 1st: get|names
Original: put , predicted 1st: write
Original: initialize|components , predicted 1st: run
Original: action|performed , predicted 1st: action|performed
Original: get|blend|src|func , predicted 1st: get
Original: set , predicted 1st: set
Original: median|of|three|pivot , predicted 1st: compare|to
Original: get|step|size , predicted 1st: get|step|size
Original: set|low|min , predicted 1st: set|min
Original: get|canvas|element , predicted 1st: get|element
Original: render , predicted 1st: test
Original: truncate , predicted 1st: set|size
Original: write|float , predicted 1st: write|float
Original: create , predicted 1st: run
Original: draw , predicted 1st: set
Original: copy , predicted 1st: read
Original: create|dummy|class , predicted 1st: create|file
Original: get|m|vcount , predicted 1st: get
Original: compact , predicted 1st: set
Original: set|ndimpulses , predicted 1st: set|data|data|size
Original: create|entry , predicted 1st: create|entry
Original: set , predicted 1st: from
Original: get|ratio , predicted 1st: get
Original: set|scrolling|disabled , predicted 1st: set|y
Original: set|ndamping , predicted 1st: set|data|data|options
Original: compare|to , predicted 1st: read|to
Original: read|fully , predicted 1st: read
Original: create|entry , predicted 1st: create|entry
Original: preload , predicted 1st: update
Original: on|progress , predicted 1st: set
Original: on|failure , predicted 1st: run
Original: on|success , predicted 1st: load
Original: on|progress , predicted 1st: update
Original: on|failure , predicted 1st: run
Original: on|success , predicted 1st: add
Original: update|relative , predicted 1st: set
Original: create|entry , predicted 1st: create|entry
Original: instance , predicted 1st: get|instance
Original: get|prefix , predicted 1st: get|prefix
Original: dispose , predicted 1st: dispose
Original: create , predicted 1st: test
Original: resize , predicted 1st: update
Original: on|regions|selected , predicted 1st: set|selected
Original: get|cluster|iterations , predicted 1st: get|batch|data|data|options
Original: allocate|channels , predicted 1st: run
Original: get|angle , predicted 1st: bar
Original: get|transform|matrix , predicted 1st: get|transform
Original: set|color , predicted 1st: set|color|color
Original: set|rotation , predicted 1st: set
Original: reverse , predicted 1st: set|reverse
Original: draw , predicted 1st: 
Original: create|entry , predicted 1st: create|entry
Original: clamp , predicted 1st: 
Original: put|short , predicted 1st: set
Original: put , predicted 1st: set|array
Original: get|patch , predicted 1st: get|patch
Original: get|base|resolver , predicted 1st: get|resolver
Original: set|uniformi , predicted 1st: set|value
Original: set|locii , predicted 1st: on|data
Original: put , predicted 1st: get|short
Original: is|managed , predicted 1st: is|managed|managed
Original: get|comments , predicted 1st: find|line
Original: get|x|distance , predicted 1st: get|x|x|x
Original: remove|range , predicted 1st: get|items
Original: create|entry , predicted 1st: create|entry
Original: get|dynamic|friction , predicted 1st: get|dynamic|data
Original: mul , predicted 1st: set
Original: create|entry , predicted 1st: create|entry
Original: set|uniform|fv , predicted 1st: add
Original: mul|trans|unsafe , predicted 1st: 
Original: set|euler|angles , predicted 1st: 
Original: create|entry , predicted 1st: create|entry
Original: put|short , predicted 1st: set|short
Original: get|rest|area , predicted 1st: get|body|data
Original: put , predicted 1st: write
Original: get|ndamping , predicted 1st: get|data|data|options
Original: create|entry , predicted 1st: create|entry
Original: set|enabled , predicted 1st: set
Original: x , predicted 1st: draw
Original: remove|index , predicted 1st: get|value
Original: reset , predicted 1st: reset
Original: create|entry , predicted 1st: create|entry
Original: implicit|solve , predicted 1st: 
Original: set|collision|object , predicted 1st: set|object
Original: get|pref|width , predicted 1st: get|width|width
Original: copy , predicted 1st: write
Original: add , predicted 1st: set
Original: put , predicted 1st: set
Original: contains , predicted 1st: contains
Original: get|blur|passes , predicted 1st: get
Original: set|node|indices , predicted 1st: set|data|data
Original: set|flick|scroll|tap|square|size , predicted 1st: set|size
Original: set , predicted 1st: set
Original: set|snap|to|values , predicted 1st: set|threshold
Original: render , predicted 1st: test
Original: rectangle , predicted 1st: set|border
Original: save , predicted 1st: run
Original: is|visible , predicted 1st: is|public|public
Original: get|delta|x , predicted 1st: get|weight
Original: read , predicted 1st: read
Original: initialize|components , predicted 1st: run
Original: state|changed , predicted 1st: set
Original: state|changed , predicted 1st: set|max
Original: action|performed , predicted 1st: set|visible
Original: get|amount|height , predicted 1st: get|height
Original: alloc|particles|data , predicted 1st: set
Original: create|entry , predicted 1st: create|entry
Original: stop , predicted 1st: start
Original: len , predicted 1st: foo
Original: copy , predicted 1st: read
Original: slice , predicted 1st: to|array
Original: set|depth|test , predicted 1st: set|depth
Original: create|entry , predicted 1st: create|entry
Original: set|uniform|matrix , predicted 1st: set
Original: reset , predicted 1st: reset
Original: line , predicted 1st: draw
Original: compact , predicted 1st: set|up
Original: mul|trans|unsafe , predicted 1st: set
Original: last , predicted 1st: get
Original: get|frame|buffer|pixels , predicted 1st: get
Original: switch|animation , predicted 1st: test
Original: read , predicted 1st: read|stream
Original: sort , predicted 1st: sort
Original: render , predicted 1st: test
Original: list , predicted 1st: get|files
Original: restart , predicted 1st: set|up
Original: set|uniformf , predicted 1st: set
Original: get|scale|x , predicted 1st: get|x|x
Original: render , predicted 1st: set|render
Original: create|entry , predicted 1st: create|entry
Original: scale , predicted 1st: set|dirty
Original: get|min|width , predicted 1st: get
Original: get|angle|around , predicted 1st: get
Original: create|entry , predicted 1st: create|entry
Original: previous , predicted 1st: get|payload
Original: create|entry , predicted 1st: create|entry
Original: add|all , predicted 1st: set
Original: get|visual|scroll|percent|y , predicted 1st: 
Original: cpy , predicted 1st: create
Original: get|visual|scroll|percent|x , predicted 1st: 
Original: get|accelerometer|x , predicted 1st: get
Original: get|motor|speed , predicted 1st: get
Original: remove|all , predicted 1st: remove
Original: create , predicted 1st: create|entry
Original: has|array , predicted 1st: has|array
Original: assert|equals|and|hash , predicted 1st: assert|hash|hash
Original: get|pages , predicted 1st: get|pages
Original: flush , predicted 1st: test
Original: set|shader , predicted 1st: set
Original: allocate|channels , predicted 1st: run
Original: put , predicted 1st: read
Original: draw , predicted 1st: do|add|batch
Original: set|from|matrix , predicted 1st: set|from
Original: get|managed|status , predicted 1st: get
Original: key|typed , predicted 1st: write
Original: arc , predicted 1st: do|paint
Original: extract|file , predicted 1st: get|file
Original: get|scaling , predicted 1st: get
Original: remove|range , predicted 1st: remove
Original: get|amount|width , predicted 1st: get|width
Original: get|matching , predicted 1st: is|batch|data|options
Original: setup|shaders , predicted 1st: test
Original: ui|style , predicted 1st: test|border
Original: get|radius , predicted 1st: get
Original: create|entry , predicted 1st: create|entry
Original: get|json|loader , predicted 1st: read
Original: read|value , predicted 1st: read|value
Original: read , predicted 1st: read
Original: read|named|objects , predicted 1st: add|value
Original: read , predicted 1st: get|font
Original: read , predicted 1st: read
Original: read , predicted 1st: read
Original: conjugate , predicted 1st: get
Original: create|entry , predicted 1st: create|entry
Original: read|value , predicted 1st: read|value
Original: read , predicted 1st: read
Original: read|named|objects , predicted 1st: add|value
Original: read , predicted 1st: read
Original: read , predicted 1st: read
Original: read , predicted 1st: get
Original: get|scroll|pane , predicted 1st: get|select|list
Original: protected|array , predicted 1st: get|array
Original: set|dynamic|friction , predicted 1st: set|dynamic|data
Original: create , predicted 1st: test
Original: centroid|to|out , predicted 1st: out|to
Original: set|width , predicted 1st: set|width
Original: get|origin|y , predicted 1st: get|y
Original: get|uniform|location , predicted 1st: get
Original: create , predicted 1st: init
Original: skip|bytes , predicted 1st: skip|bytes
Original: get|format , predicted 1st: get|format
Original: set|height , predicted 1st: set|height
Original: is|key|pressed , predicted 1st: is|key
Original: as|read|only|buffer , predicted 1st: to|buffer
Original: get|gimbal|pole , predicted 1st: get
Original: set|vertex|attribute , predicted 1st: set
Original: all|random , predicted 1st: set|random
Original: get , predicted 1st: get
Original: dispose , predicted 1st: dispose
Original: create , predicted 1st: create|entry
Original: as|read|only|buffer , predicted 1st: copy|read|read|read
Original: set , predicted 1st: set
Original: set , predicted 1st: set
Original: get|frame|buffer|texture , predicted 1st: create
Original: get|timeline , predicted 1st: get
Original: snap , predicted 1st: get|value
Original: create|entry , predicted 1st: create|entry
Original: fetch|uniforms , predicted 1st: run
Original: read , predicted 1st: read|char
Original: get|drift|iterations , predicted 1st: get|data|data|data
Original: circle , predicted 1st: to|x
Original: translate|x , predicted 1st: 
Original: get|values , predicted 1st: get|values
Original: get|c|ptr , predicted 1st: get|data|data
Original: consistency|test , predicted 1st: check|test
Original: set|disabled , predicted 1st: set|disabled
Original: slice , predicted 1st: get|read|read|read|read
Original: set|soft|rigid|cluster|impulse|split , predicted 1st: set|soft|soft|soft|soft|value
Original: draw , predicted 1st: draw
Original: get|runnable , predicted 1st: get|runnable
Original: get , predicted 1st: get|pool
Original: get|sprite , predicted 1st: get
Original: read , predicted 1st: read
Original: skip , predicted 1st: read
Original: create , predicted 1st: test
Original: next|int , predicted 1st: get|long
Original: new|array , predicted 1st: new|array
Original: dispose , predicted 1st: dispose
Original: create|entry , predicted 1st: create|entry
Original: get|scroll|bar|width , predicted 1st: get|width|width
Original: set|fade|scroll|bars , predicted 1st: set|scroll
Original: select , predicted 1st: select
Original: create|entry , predicted 1st: create|entry
Original: overlaps , predicted 1st: is
Original: compare|to , predicted 1st: compare
Original: check|widget|size , predicted 1st: update
Original: create|entry , predicted 1st: create|entry
Original: get|fragment|shader|source , predicted 1st: get|source|fragment
Original: set|position , predicted 1st: to|x
Original: create|entry , predicted 1st: create|entry
Original: get|width , predicted 1st: get|width
Original: get|idmass , predicted 1st: get|data|data|options
Original: get|pack|to|texture , predicted 1st: is|to|to
Original: create , predicted 1st: test
Original: create|shader , predicted 1st: create
Original: resize , predicted 1st: set|width
Original: set|radius , predicted 1st: set
Original: with , predicted 1st: short|array
Original: setup|overscroll , predicted 1st: set|max
Original: next|long , predicted 1st: get|value
